playerId,year,school_name,conf_abbr,class,pos,g,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced
calvin-throckmorton-1,2017,Oregon,Pac-12,SO,OL,1,0,1,1,0.0,0.0,0,0,,0,0,0,,,0
calvin-throckmorton-1,2019,Oregon,Pac-12,SR,OL,1,1,0,1,0.0,0.0,0,0,,0,0,0,,,0
joe-thuney-1,2013,North Carolina State,ACC,SO,C,1,1,0,1,0.0,0.0,0,0,,0,0,0,,,0
joe-thuney-1,2015,North Carolina State,ACC,SR,G,1,1,0,1,0.0,0.0,0,0,,0,0,0,,,0
odell-thurman-1,2003,Georgia,SEC,SO,LB,14,,,,,,2,125,62.5,1,,,,,
walter-thurmond-iii-1,2006,Oregon,Pac-10,FR,DB,12,44,23,67,3.5,1.5,1,0,0.0,0,,0,0,0,
walter-thurmond-iii-1,2007,Oregon,Pac-10,SO,DB,13,75,28,103,8.0,0.0,5,84,16.8,1,,1,25,1,
walter-thurmond-iii-1,2008,Oregon,Pac-10,JR,DB,12,51,15,66,1.0,0.0,5,67,13.4,1,,0,0,0,
walter-thurmond-iii-1,2009,Oregon,Pac-10,SR,DB,4,11,6,17,0.0,0.0,1,18,18.0,1,,0,0,0,
byron-thweatt-1,1998,Virginia,ACC,,LB,11,,,,,,2,61,30.5,1,,,,,
byron-thweatt-1,1999,Virginia,ACC,,LB,11,,,,,,1,11,11.0,0,,,,,
byron-thweatt-1,2000,Virginia,ACC,SR,LB,11,,,,,,1,9,9.0,0,,,,,
calvin-tiggle-2,1990,Georgia Tech,ACC,,LB,11,,,,,,1,38,38.0,0,,,,,
andrew-tiller-1,2010,Syracuse,Big East,SR,OL,13,0,1,1,0.0,0.0,,,,,0,0,0,0,0
jerry-tillery-2,2015,Notre Dame,Ind,FR,DL,6,9,3,12,2.0,1.0,0,0,,0,0,0,,,0
jerry-tillery-2,2016,Notre Dame,Ind,SO,DL,11,19,18,37,3.5,0.0,0,0,,0,0,0,,,0
jerry-tillery-2,2017,Notre Dame,Ind,JR,DL,13,25,31,56,9.0,4.5,0,0,,0,0,0,,,1
jerry-tillery-2,2018,Notre Dame,Ind,SR,DL,12,18,11,29,9.5,8.0,0,0,,0,0,0,,,3
emmett-tilley-1,1982,Duke,ACC,,LB,9,,,,,,1,23,23.0,0,,,,,
charles-tillman-1,2000,Louisiana,Ind,SO,DB,11,,,,,,6,15,2.5,0,,,,,
charles-tillman-1,2001,Louisiana,Sun Belt,JR,DB,11,,,,,,4,13,3.3,0,,,,,
charles-tillman-1,2002,Louisiana,Sun Belt,SR,DB,12,,,,,,2,8,4.0,0,,,,,
pat-tillman-1,1995,Arizona State,Pac-10,,LB,11,,,,,,,,,,,,,,
pat-tillman-1,1996,Arizona State,Pac-10,,LB,11,,,,,,4,17,4.3,1,,,,,
pat-tillman-1,1997,Arizona State,Pac-10,,LB,11,,,,,,3,2,0.7,0,,,,,
travares-tillman-1,1996,Georgia Tech,ACC,,DB,9,,,,,,1,0,0.0,0,,,,,
travares-tillman-1,1997,Georgia Tech,ACC,,DB,11,,,,,,4,32,8.0,0,,,,,
travares-tillman-1,1998,Georgia Tech,ACC,,DB,11,,,,,,1,0,0.0,0,,,,,
travares-tillman-1,1999,Georgia Tech,ACC,,DB,9,,,,,,1,9,9.0,0,,,,,
lawrence-timmons-1,2005,Florida State,ACC,SO,LB,13,17,18,35,3.5,3.0,,,,,,,,,
lawrence-timmons-1,2006,Florida State,ACC,JR,LB,13,42,37,79,18.0,5.0,1,22,22.0,1,,,36,1,
john-timu-1,2011,Washington,Pac-12,FR,LB,12,28,24,52,5.0,0.0,,,,,3,1,,,2
john-timu-1,2012,Washington,Pac-12,SO,LB,13,46,45,91,3.5,2.0,2,20,10.0,0,,,,,
john-timu-1,2013,Washington,Pac-12,JR,LB,12,38,39,77,3.5,2.0,2,12,6.0,0,1,0,,,0
john-timu-1,2014,Washington,Pac-12,SR,LB,14,57,52,109,1.5,0.0,2,98,49.0,2,10,1,,,2
pisa-tinoisamoa-1,2000,Hawaii,WAC,SO,LB,12,,,,,,,,,,,,,,
pisa-tinoisamoa-1,2002,Hawaii,WAC,SR,LB,14,,,,,,2,23,11.5,0,,,,,
andre-tippett-1,1979,Iowa,Big Ten,,DL,11,,,,,,1,9,9.0,0,,,,,
andre-tippett-1,1980,Iowa,Big Ten,,DL,11,,,,,,1,0,0.0,0,,,,,
andre-tippett-1,1981,Iowa,Big Ten,,DL,11,,,,,,1,8,8.0,0,,,,,
casey-tisdale-1,1999,New Mexico,MWC,,LB,11,,,,,,1,9,9.0,0,,,,,
ricky-tjong-a-tjoe-1,2010,Boise State,WAC,FR,DL,12,11,13,24,6.5,2.5,0,0,,0,0,0,,,0
ricky-tjong-a-tjoe-1,2011,Boise State,MWC,SO,DL,7,7,8,15,3.0,2.0,0,0,,0,0,0,,,0
ricky-tjong-a-tjoe-1,2012,Boise State,MWC,JR,DL,,18,19,37,4.5,2.5,,,,,2,0,0,0,0
ricky-tjong-a-tjoe-1,2013,Boise State,MWC,SR,DT,12,21,31,52,4.0,1.0,0,0,,0,4,0,,,1
jack-tocho-1,2013,North Carolina State,ACC,FR,CB,10,17,8,25,0.0,0.0,2,50,25.0,0,3,0,,,0
jack-tocho-1,2014,North Carolina State,ACC,SO,CB,13,33,7,40,0.0,0.0,1,0,0.0,0,11,0,,,0
jack-tocho-1,2015,North Carolina State,ACC,JR,CB,9,15,5,20,0.0,0.0,1,8,8.0,0,3,0,,,0
jack-tocho-1,2016,North Carolina State,ACC,SR,CB,13,33,4,37,2.0,1.0,2,0,0.0,0,9,0,,,0
tommy-togiai-1,2018,Ohio State,Big Ten,FR,DT,6,7,3,10,2.0,0.0,0,0,,0,0,0,,,0
tommy-togiai-1,2019,Ohio State,Big Ten,SO,DT,9,8,8,16,2.0,0.0,0,0,,0,1,0,,,0
tommy-togiai-1,2020,Ohio State,Big Ten,JR,DT,7,12,11,23,4.5,3.0,0,0,,0,2,0,,,1
brandon-tolbert-2,1995,Georgia,SEC,,LB,9,,,,,,1,0,0.0,0,,,,,
brandon-tolbert-2,1997,Georgia,SEC,,LB,11,,,,,,1,4,4.0,0,,,,,
tony-tolbert-1,1987,UTEP,WAC,,DL,11,,,,,,1,6,6.0,0,,,,,
tony-tolbert-1,1988,UTEP,WAC,,DL,13,,,,,,1,11,11.0,0,,,,,
cameron-tom-1,2013,Southern Mississippi,CUSA,FR,OL,1,1,0,1,0.0,0.0,0,0,,0,0,0,,,0
cameron-tom-1,2014,Southern Mississippi,CUSA,SO,OL,2,1,1,2,0.0,0.0,0,0,,0,0,0,,,0
cameron-tom-1,2015,Southern Mississippi,CUSA,JR,OL,1,1,0,1,0.0,0.0,0,0,,0,0,0,,,0
cameron-tom-1,2016,Southern Mississippi,CUSA,SR,OL,2,2,0,2,0.0,0.0,0,0,,0,0,0,,,1
dalvin-tomlinson-1,2013,Alabama,SEC,FR,DL,1,2,2,4,0.0,0.0,0,0,,0,0,0,,,0
dalvin-tomlinson-1,2014,Alabama,SEC,SO,DL,8,8,14,22,4.5,1.0,0,0,,0,0,0,,,0
dalvin-tomlinson-1,2015,Alabama,SEC,JR,DL,14,12,22,34,0.5,0.0,0,0,,0,5,0,,,0
dalvin-tomlinson-1,2016,Alabama,SEC,SR,DL,15,17,45,62,5.5,3.0,0,0,,0,4,0,,,1
clifford-toney-1,1977,Auburn,SEC,,DB,11,,,,,,,,,,,,,,
clifford-toney-1,1978,Auburn,SEC,,DB,11,,,,,,5,36,7.2,0,,,,,
clifford-toney-1,1979,Auburn,SEC,,DB,11,,,,,,1,10,10.0,0,,,,,
clifford-toney-1,1980,Auburn,SEC,,DB,11,,,,,,5,23,4.6,0,,,,,
