playerId,year,school_name,conf_abbr,class,pos,g,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td
brandon-barden-1,2009,Vanderbilt,SEC,SO,TE,12,29,357,12.3,1,,,,,29,357,12.3,1
brandon-barden-1,2010,Vanderbilt,SEC,JR,TE,12,34,425,12.5,3,,,,,34,425,12.5,3
brandon-barden-1,2011,Vanderbilt,SEC,SR,TE,11,16,243,15.2,1,,,,,16,243,15.2,1
ken-barefoot-1,1965,Virginia Tech,Ind,,WR,10,20,250,12.5,2,,,,,20,250,12.5,2
ken-barefoot-1,1966,Virginia Tech,Ind,,TE,10,22,267,12.1,4,,,,,22,267,12.1,4
ken-barefoot-1,1967,Virginia Tech,Ind,,WR,10,26,225,8.7,2,,,,,26,225,8.7,2
gary-barnes-1,1959,Clemson,ACC,,WR,11,9,216,24.0,3,,,,,9,216,24.0,3
gary-barnes-1,1960,Clemson,ACC,,WR,10,14,256,18.3,1,,,,,14,256,18.3,1
gary-barnes-1,1961,Clemson,ACC,,RB,10,16,247,15.4,2,8,31,3.9,1,24,278,11.6,3
khalif-barnes-1,2002,Washington,Pac-10,SO,OL,13,1,9,9.0,0,,,,,1,9,9.0,0
lew-barnes-1,1983,Oregon,Pac-10,,WR,11,30,625,20.8,5,17,85,5.0,0,47,710,15.1,5
lew-barnes-1,1984,Oregon,Pac-10,,WR,10,37,634,17.1,7,10,126,12.6,0,47,760,16.2,7
lew-barnes-1,1985,Oregon,Pac-10,,WR,11,50,789,15.8,6,13,47,3.6,1,63,836,13.3,7
dean-barnett-1,1978,UNLV,Ind,,TE,11,15,195,13.0,0,,,,,15,195,13.0,0
dean-barnett-1,1979,UNLV,Ind,,TE,12,23,397,17.3,1,,,,,23,397,17.3,1
ronnie-barnett-1,1973,Texas-Arlington,Ind,,WR,10,4,175,43.8,2,3,40,13.3,1,7,215,30.7,3
ronnie-barnett-1,1974,Texas-Arlington,Ind,,WR,11,24,458,19.1,5,7,42,6.0,0,31,500,16.1,5
ronnie-barnett-1,1975,Texas-Arlington,Southland,,WR,11,30,529,17.6,6,9,21,2.3,0,39,550,14.1,6
eppie-barney-1,1964,Iowa State,Big 8,,RB,10,6,73,12.2,,24,43,1.8,,30,116,3.9,0
eppie-barney-1,1965,Iowa State,Big 8,,RB,10,35,495,14.1,1,,,,,35,495,14.1,1
eppie-barney-1,1966,Iowa State,Big 8,,WR,10,56,782,14.0,3,2,21,10.5,0,58,803,13.8,3
gary-barnidge-1,2004,Louisville,CUSA,FR,TE,11,7,85,12.1,4,,,,,7,85,12.1,4
gary-barnidge-1,2005,Louisville,Big East,SO,TE,11,17,240,14.1,2,,,,,17,240,14.1,2
gary-barnidge-1,2006,Louisville,Big East,JR,TE,13,31,511,16.5,4,,,,,31,511,16.5,4
gary-barnidge-1,2007,Louisville,Big East,SR,TE,12,53,655,12.4,7,,,,,53,655,12.4,7
