player_id,position,games,gamestarts,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_per_g,rec_yds_per_g,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_yds_per_g,Component_1,Component_2,Component_3,Component_4,kmeans_pca_cluster
AbbrJa00,WR,22,0,25,13,163,11.666666666666666,0,0.5,6.333333333333333,5.733333333333333,0,0,0,0.0,0.0,-2.1628865450145547,-0.15688449339495447,0.24562513566430014,-0.47510026439166536,1
AdamDa01,WR,108,101,930,604,7354,12.0875,65,5.75,70.3125,7.749999999999999,0,0,0,0.0,0.0,5.9552066555647745,-2.396112715851775,-0.3840698748075208,0.5975523853660856,0
AdamJe01,TE,30,3,32,24,214,6.366666666666667,1,0.5666666666666667,5.066666666666666,4.733333333333333,0,0,0,0.0,0.0,-2.317029025243205,-0.029903059486740113,-0.9099688005886278,-0.05396277068961199,1
AdamJo01,WR,9,0,1,1,7,7.0,0,0.1,0.8,7.0,3,13,0,4.3,1.4,-2.2918814404055268,0.907697181121983,0.12327302634467109,0.8478289120512588,1
AghoNe00,WR,96,83,498,294,3746,12.785714285714286,28,3.0,38.042857142857144,7.371428571428571,13,65,0,3.7857142857142856,0.6428571428571429,2.6673896355662197,-0.35047666898404367,0.1173586197892154,0.523307741069553,3
AikeSa00,WR,95,11,94,48,684,10.674999999999999,2,0.49999999999999994,6.687499999999999,5.7749999999999995,0,0,0,0.0,0.0,-1.395639595251134,-0.3512513471436955,-0.4277177377738509,-0.7419301468697291,1
AiyuBr00,WR,20,18,127,79,978,12.3,7,3.7,45.55,7.6,9,86,2,7.9,3.75,0.9437151378221547,2.7167360291284424,1.9539523726302672,2.0240047396278693,3
AkinJo00,TE,54,23,157,111,1230,11.125000000000002,3,2.125,22.9,7.85,2,7,0,1.75,0.15,-0.38444313128645463,-0.32103518730637265,0.7157532928614709,0.13503991583348982,3
AlfoMa00,WR,1,0,1,1,15,15.0,0,1.0,15.0,15.0,0,0,0,0.0,0.0,-1.3251293255511332,-0.5585733914996828,3.4549822127087384,-1.3669016696394718,3
AlleDw00,TE,86,72,225,139,1564,11.599999999999998,20,1.5,18.271428571428572,6.871428571428569,4,6,0,0.38571428571428573,0.05714285714285715,0.42064668302479047,-0.7439686011187717,-0.2897854047025691,-0.6123026084239631,3
AlleKe00,WR,108,103,995,681,7997,11.566666666666666,44,6.4222222222222225,73.54444444444444,8.133333333333333,15,99,0,1.9000000000000001,0.6888888888888889,6.398291072171839,-1.2990578981101346,-0.1350248188780134,1.0316621725659938,0
AlliAu00,WR,26,0,40,18,231,13.100000000000001,0,0.7,9.2,5.800000000000001,3,4,0,1.25,0.2,-1.8645102164587002,0.029239189035823086,0.5770134558310244,-0.21006342220758592,1
AmarJa00,TE,17,4,57,41,404,14.399999999999999,2,1.85,22.15,10.65,0,0,0,0.0,0.0,-0.993279338932999,-0.5526909031733472,2.235208844716518,-0.6933985782216493,3
AndeCo00,TE,45,28,112,62,763,7.5,6,0.9399999999999998,11.76,4.24,0,0,0,0.0,0.0,-1.4831791317929082,-0.27473413426416315,-1.0698371892649208,-0.037948339378952166,1
AndeDa01,WR,71,10,148,94,1035,13.414285714285715,5,1.2571428571428573,14.014285714285714,9.485714285714286,0,0,0,0.0,0.0,-0.6442303947518946,-0.6349792047905273,1.1653524622463522,-0.9623469653014047,3
