player_id,position,games,gamestarts,pass_defended,fumbles_forced,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,Component_1,Component_2,kmeans_pca_cluster
SmitKe23,DT,36,10,2.0,0.0,4.5,72,58.0,14.0,6.0,0.0,-1.4954525662783396,-0.086105045631099,0
SmitLe20,DT,45,2,1.0,0.0,1.0,23,19.0,4.0,0.0,0.0,-2.065438046148075,-0.018749067387091548,0
SoliPa99,DT,138,87,12.0,2.0,5.5,221,159.0,62.0,35.0,25.0,2.224328913034032,-1.0871113478497456,2
SopoIs20,DT,147,95,10.0,1.0,8.5,245,165.0,80.0,23.0,19.0,2.179554739257907,-1.6553107816683816,2
SpenAk00,DT,115,57,0.0,1.0,10.5,211,129.0,82.0,19.0,35.0,1.2601340086041293,-0.7309503108328556,2
StanMo20,DT,33,6,3.0,1.0,1.5,53,46.0,7.0,2.0,2.0,-1.6490546033444877,0.14125157334271776,0
StarRa20,DT,186,147,21.0,2.0,42.0,422,300.0,122.0,70.0,77.0,6.855176859932577,-0.49731783062414353,1
StepSh00,DT,107,65,4.0,1.0,4.5,191,93.0,98.0,7.0,16.0,0.7852487838124973,-1.3368379189117348,2
StewDa20,DT,35,1,1.0,1.0,1.5,36,24.0,12.0,4.0,0.0,-1.8303807200662225,0.20710267735071944,0
StewGr00,DT,71,39,2.0,1.0,4.5,154,90.0,64.0,16.0,19.0,0.113794617572144,-0.4889873613484266,2
StilDe00,DT,33,0,3.0,1.0,0.5,43,21.0,22.0,1.0,1.0,-1.7668007026125983,0.10256153044445998,0
StreKe00,DT,26,4,0.0,1.0,2.0,33,17.0,16.0,5.0,2.0,-1.8607419431366818,0.3146147656453908,0
StroMa01,DT,146,129,41.0,8.0,29.5,429,314.0,115.0,62.0,24.0,6.94357326024142,-0.45035906281575433,1
SuhxNd99,DT,182,182,38.0,5.0,66.5,575,378.0,197.0,126.0,206.0,12.183291406023887,2.3044705708217705,3
SullJo23,DT,36,16,3.0,1.0,1.5,78,57.0,21.0,5.0,0.0,-1.3243772048322233,-0.11106862847171498,0
SuttWi00,DT,36,18,7.0,0.0,0.0,60,39.0,21.0,4.0,2.0,-1.437498598464527,-0.26909998183184136,0
SweeJ.00,DT,117,104,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.0410196678594021,-1.0422597262525635,0
Ta'aAl00,DT,21,3,0.0,0.0,0.0,7,5.0,2.0,2.0,1.0,-2.3451000406502507,0.22967148611907579,0
TaylJu00,DT,12,0,1.0,0.0,0.0,16,11.0,5.0,4.0,2.0,-2.2814575403304858,0.2901909839954119,0
TaylPh00,DT,44,42,3.0,1.0,7.0,109,69.0,40.0,15.0,15.0,-0.35783986791820865,-0.004844844584716165,2
TaylVi00,DT,40,2,2.0,0.0,2.0,65,42.0,23.0,7.0,4.0,-1.5556148492382498,-0.08602053399682472,0
TerrCr20,DT,88,5,5.0,0.0,8.0,109,77.0,32.0,17.0,12.0,-0.3971271987338391,-0.25639355817255993,2
ThomBr01,DT,39,7,1.0,0.0,3.0,53,29.0,24.0,6.0,6.0,-1.6036549585756976,0.004414837352662886,0
ThomCa99,DT,103,27,4.0,0.0,7.5,115,83.0,32.0,20.0,16.0,-0.052962664510522284,-0.4415178449911715,2
ThomMa99,DT,76,34,4.0,1.0,1.0,147,104.0,43.0,9.0,8.0,-0.24444854833287682,-0.7556521917128516,2
ThorKh00,DT,23,6,0.0,0.0,1.0,28,20.0,8.0,4.0,3.0,-2.0772515878507463,0.16555282017014183,0
TillJe00,DT,39,22,2.0,2.0,7.5,74,40.0,34.0,9.0,25.0,-0.6747223358774216,0.6410895984001881,0
ToeaMa99,DT,36,24,3.0,0.0,2.0,50,35.0,15.0,5.0,8.0,-1.4888014623605934,-0.04456352170342247,0
TomlDa00,DT,72,72,5.0,1.0,9.5,228,113.0,115.0,21.0,23.0,1.3603455698047635,-0.9451635691585862,2
TongKh00,DL,5,1,0.0,0.0,0.0,6,3.0,3.0,0.0,0.0,-2.5113655586547874,0.3216107386457465,0
TosiMa20,DT,26,11,0.0,1.0,1.0,90,69.0,21.0,5.0,0.0,-1.4735752632150123,-0.07223466084621531,0
TripLa20,DT,92,62,10.0,5.0,8.5,214,147.0,67.0,17.0,17.0,1.7101219157764391,-0.23049739446321385,2
TrouTo00,DT,21,2,2.0,0.0,0.0,31,17.0,14.0,2.0,1.0,-2.089633135426916,0.07309890168587825,0
TubbMa20,DT,29,16,3.0,3.0,7.0,60,37.0,23.0,4.0,2.0,-1.0822328081537025,0.5990242116337954,0
TyleTa99,DT,49,21,0.0,0.0,0.0,104,83.0,21.0,4.0,5.0,-1.270301615633485,-0.5064801837970097,0
TysoDe00,DT,34,6,3.0,0.0,3.0,42,19.0,23.0,4.0,6.0,-1.6766653583848021,0.07433637075974016,0
UrbaBr00,DT,80,31,9.0,0.0,6.0,107,60.0,47.0,10.0,9.0,-0.27030585621506426,-0.5988330774927725,2
ValeVi00,DT,16,2,0.0,0.0,1.0,20,11.0,9.0,2.0,2.0,-2.24442886345319,0.23671430109688812,0
VandEd00,DT,19,13,0.0,0.0,0.0,26,18.0,8.0,2.0,2.0,-2.131959409562986,0.09201214444579608,0
VeaxVi00,DT,42,37,5.0,0.0,8.5,89,56.0,33.0,12.0,25.0,-0.512968694799392,0.1527908192027855,0
VickKe99,DT,86,44,12.0,2.0,6.5,166,120.0,46.0,21.0,23.0,0.9373647483159316,-0.27866810432078504,2
WalkDa21,DT,109,84,16.0,6.0,28.5,212,167.0,45.0,38.0,11.0,3.0495356991924574,0.585051299559837,1
WalkVa99,DT,104,32,2.0,2.0,12.0,172,119.0,53.0,25.0,19.0,0.8252443782780059,-0.18887175551558755,2
WaltLe00,DT,36,4,3.0,0.0,2.0,22,17.0,5.0,4.0,4.0,-1.9080841719079622,0.16463308398475024,0
WarrGe20,DT,163,137,18.0,7.0,36.5,339,253.0,86.0,61.0,29.0,5.707491583226222,0.11824423848550533,1
WarrSt20,DT,25,0,4.0,0.0,1.0,19,16.0,3.0,2.0,0.0,-2.099623794095309,0.16590846958367622,0
WashAd00,DT,39,21,3.0,0.0,5.5,68,40.0,28.0,12.0,11.0,-1.1026337543867957,0.05696435032020036,0
WashBr01,DT,14,1,0.0,0.0,0.0,7,2.0,5.0,1.0,0.0,-2.4238201207872763,0.2543066478465501,0
WatkCa00,DT,48,23,5.0,0.0,5.0,88,48.0,40.0,13.0,7.0,-0.8301217842269795,-0.2363544065972471,0
WatsGa20,DT,62,21,2.0,2.0,2.0,105,81.0,24.0,9.0,3.0,-0.7367232026626779,-0.16956952326772964,0
WattAr01,DT,31,5,1.0,2.0,4.0,67,31.0,36.0,1.0,5.0,-1.3609477031642954,0.30400001387434794,0
WeavRa00,DL,2,0,0.0,0.0,0.0,2,0.0,2.0,0.0,0.0,-2.5673887127818134,0.3709174831007992,0
WilfVi20,DT,189,179,27.0,5.0,16.0,560,367.0,193.0,39.0,38.0,7.223018293516583,-2.9173012179367195,1
WilkCh00,DT,40,36,9.0,1.0,5.5,147,86.0,61.0,13.0,13.0,0.00404615083875387,-0.3199821854551218,2
WilkMu00,DT,108,104,29.0,11.0,44.5,410,245.0,165.0,71.0,103.0,7.8320637513598035,2.3438271024231816,3
WillBr02,DT,116,107,10.0,2.0,6.5,301,172.0,129.0,30.0,18.0,2.745063992345967,-1.787259476960764,2
WillCo21,DT,126,74,16.0,8.0,27.5,277,200.0,77.0,40.0,55.0,4.315212527664617,1.1639872801640312,1
WillDa22,DT,3,1,0.0,0.0,0.5,7,3.0,4.0,1.0,0.0,-2.48609624370267,0.35448454622362546,0
WillDa99,DT,102,66,11.0,0.0,3.5,222,154.0,68.0,12.0,19.0,1.0859385012731502,-1.4800375535822452,2
WillJo30,DT,73,48,4.0,3.0,8.0,173,117.0,56.0,15.0,0.0,0.4914637068579914,-0.4418165377037161,2
WillKe98,DT,203,193,73.0,10.0,63.0,528,370.0,158.0,113.0,90.0,12.368658999253807,1.1362878542968984,3
WillKy20,DT,183,178,11.0,4.0,48.5,609,387.0,222.0,103.0,141.0,9.821791666391391,0.07731052448120762,3
WillMi08,DL,6,1,0.0,0.0,0.0,9,2.0,7.0,0.0,0.0,-2.4735832159110167,0.28532022253200146,0
WillNi01,DT,71,26,4.0,0.0,7.5,103,60.0,43.0,12.0,17.0,-0.4323875296691888,-0.2533916641227104,2
WillQu00,DT,34,30,5.0,2.0,14.0,115,70.0,45.0,19.0,29.0,0.13051075629371542,0.7788405641466984,2
WillSy00,DT,110,63,5.0,0.0,5.5,150,97.0,53.0,21.0,14.0,0.5324210004145056,-1.040245170398454,2
WindRo01,DT,2,0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,-2.5733441277650657,0.3786874968198575,0
WinnBi00,DT,74,23,7.0,2.0,3.0,117,70.0,47.0,17.0,12.0,-0.06635768539709859,-0.17321276496101817,2
WolfDe00,DT,122,116,17.0,1.0,34.0,350,225.0,125.0,52.0,81.0,5.0203598130988105,-0.10015222008358193,1
WoodAl99,DT,133,56,6.0,0.0,6.5,225,120.0,105.0,21.0,15.0,1.3410805460097046,-1.6575443061393602,2
WoodCe20,DT,61,29,0.0,2.0,1.0,117,78.0,39.0,8.0,0.0,-0.7075287434804911,-0.4082914814625803,0
WortDo99,DT,8,0,1.0,0.0,0.0,3,2.0,1.0,0.0,0.0,-2.487933755287756,0.32397353944012275,0
WortJe00,DT,40,4,0.0,1.0,2.5,35,19.0,16.0,6.0,6.0,-1.6846742695062416,0.2971782607347123,0
WortSh20,DT,4,0,0.0,0.0,0.0,3,3.0,0.0,1.0,0.0,-2.537837315328305,0.36912598250974216,0
WrenRe00,DT,11,2,0.0,0.0,0.0,8,4.0,4.0,0.0,0.0,-2.448451255192487,0.2599615489996724,0
WrigGa00,DT,15,1,2.0,0.0,0.0,12,9.0,3.0,2.0,1.0,-2.2916242968001024,0.25073028303721495,0
WrigRo99,DT,14,9,1.0,0.0,1.5,38,28.0,10.0,2.0,3.0,-2.0257184492765097,0.15489218484160774,0
WrotCl20,DT,26,0,0.0,1.0,1.5,27,21.0,6.0,5.0,5.0,-1.9410148723565936,0.434771767179238,0
YounBr20,DT,123,89,9.0,7.0,22.5,309,230.0,79.0,36.0,21.0,3.689060925039879,0.021456157304487855,1
ZettAn00,DT,51,16,0.0,1.0,7.5,77,51.0,26.0,15.0,17.0,-0.8315960646501115,0.35744494667734106,0
