,age,team,g,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,player_id,position,snaps_played,total_snaps,snap_played_percentage
240,22,NYG,15,14,128,74,894,12.1,2,49,30,4.9,59.6,57.8,7.0,0,0,0,0,0,0.0,0.0,0.0,74,12.1,894,2,3,8.0,ShocJe00,TE,,,
241,22,2TM,2,0,1,1,4,4.0,0,0,4,0.5,2.0,100.0,4.0,0,0,0,0,0,0.0,0.0,0.0,1,4.0,4,0,0,0.0,CunnJu00,TE,14.0,61.0,0.23
242,22,DAL,16,15,122,87,980,11.3,6,45,42,5.4,61.3,71.3,8.0,0,0,0,0,0,0.0,0.0,0.0,87,11.3,980,6,2,8.0,WittJa00,TE,,,
243,22,JAX,15,1,20,13,150,11.5,2,9,30,0.9,10.0,65.0,7.5,0,0,0,0,0,0.0,0.0,0.0,13,11.5,150,2,0,1.0,WrigGe00,TE,,,
244,22,JAX,15,3,21,13,126,9.7,1,6,31,0.9,8.4,61.9,6.0,0,0,0,0,0,0.0,0.0,0.0,13,9.7,126,1,0,1.0,LewiMa00,TE,,,
245,22,DET,12,7,59,32,367,11.5,2,19,39,2.7,30.6,54.2,6.2,0,0,0,0,0,0.0,0.0,0.0,32,11.5,367,2,0,3.0,HockTJ00,TE,,,
246,22,GNB,16,13,55,34,363,10.7,1,16,27,2.1,22.7,61.8,6.6,0,0,0,0,0,0.0,0.0,0.0,34,10.7,363,1,1,3.0,FranBu00,TE,,,
247,22,KAN,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,BabeBi00,TE,,,
248,22,MIA,14,9,25,16,233,14.6,3,12,46,1.1,16.6,64.0,9.3,0,0,0,0,0,0.0,0.0,0.0,16,14.6,233,3,0,2.0,ClayCh00,TE,,,
249,22,CIN,15,10,83,52,471,9.1,4,26,27,3.5,31.4,62.7,5.7,0,0,0,0,0,0.0,0.0,0.0,52,9.1,471,4,2,4.0,GresJe00,TE,,,
250,22,NWE,16,16,124,90,1327,14.7,17,69,52,5.6,82.9,72.6,10.7,1,2,1,1,2,2.0,0.1,0.1,91,14.6,1329,18,0,14.0,GronRo00,TE,,,
251,22,DAL,16,4,9,7,62,8.9,0,2,23,0.4,3.9,77.8,6.9,0,0,0,0,0,0.0,0.0,0.0,7,8.9,62,0,0,1.0,PhilJo00,TE,,,
252,22,TEN,14,7,54,33,329,10.0,1,13,33,2.4,23.5,61.1,6.1,0,0,0,0,0,0.0,0.0,0.0,33,10.0,329,1,2,3.0,TrouBe00,TE,,,
253,22,CHI,14,4,66,39,391,10.0,2,19,31,2.8,27.9,59.1,5.9,0,0,0,0,0,0.0,0.0,0.0,39,10.0,391,2,0,3.0,OlseGr00,TE,,,
254,22,JAX,4,1,6,3,15,5.0,0,0,6,0.8,3.8,50.0,2.5,0,0,0,0,0,0.0,0.0,0.0,3,5.0,15,0,0,0.0,OlivJo00,TE,,,
255,22,CLE,16,14,88,56,639,11.4,4,27,66,3.5,39.9,63.6,7.3,0,0,0,0,0,0.0,0.0,0.0,56,11.4,639,4,0,5.0,NjokDa00,TE,,,
256,22,SDG,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,ChanSc00,TE,,,
257,22,PHI,16,4,22,16,178,11.1,1,10,29,1.0,11.1,72.7,8.1,0,0,0,0,0,0.0,0.0,0.0,16,11.1,178,1,0,2.0,CeleBr00,TE,,,
258,22,GNB,13,10,72,55,676,12.3,5,30,62,4.2,52.0,76.4,9.4,0,0,0,0,0,0.0,0.0,0.0,55,12.3,676,5,1,7.0,FinlJe00,TE,,,
259,22,IND,16,16,66,45,521,11.6,3,30,40,2.8,32.6,68.2,7.9,3,5,0,2,3,1.7,0.3,0.2,48,11.0,526,3,1,4.0,AlleDw00,TE,907.0,1163.0,0.78
260,22,GNB,16,5,30,20,225,11.3,2,10,43,1.3,14.1,66.7,7.5,0,0,0,0,0,0.0,0.0,0.0,20,11.3,225,2,0,3.0,RodgRi00,TE,480.0,1043.0,0.46
261,22,DAL,16,1,15,9,134,14.9,2,7,25,0.6,8.4,60.0,8.9,0,0,0,0,0,0.0,0.0,0.0,9,14.9,134,2,0,1.0,EscoGa00,TE,197.0,985.0,0.2
262,22,NYG,15,2,10,8,55,6.9,0,4,15,0.5,3.7,80.0,5.5,0,0,0,0,0,0.0,0.0,0.0,8,6.9,55,0,0,0.0,BeckTr00,TE,,,
263,22,TEN,14,0,15,9,74,8.2,0,5,17,0.6,5.3,60.0,4.9,0,0,0,0,0,0.0,0.0,0.0,9,8.2,74,0,0,1.0,CookJa02,TE,,,
264,22,TAM,9,9,38,21,221,10.5,2,12,30,2.3,24.6,55.3,5.8,0,0,0,0,0,0.0,0.0,0.0,21,10.5,221,2,1,2.0,SefeAu00,TE,449.0,576.0,0.78
265,22,DAL,11,7,17,12,116,9.7,0,7,17,1.1,10.5,70.6,6.8,0,0,0,0,0,0.0,0.0,0.0,12,9.7,116,0,0,1.0,SchuDa00,TE,,,
266,22,PIT,14,3,29,26,199,7.7,3,10,23,1.9,14.2,89.7,6.9,56,256,0,13,25,4.6,18.3,4.0,82,5.5,455,3,1,3.0,SamuJa00,TE,,,
267,22,BAL,4,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,WillMa04,TE,,,
268,22,DAL,16,5,24,14,126,9.0,0,4,22,0.9,7.9,58.3,5.3,0,0,0,0,0,0.0,0.0,0.0,14,9.0,126,0,0,1.0,FasaAn00,TE,,,
269,22,BAL,11,2,23,18,153,8.5,0,10,25,1.6,13.9,78.3,6.7,0,0,0,0,0,0.0,0.0,0.0,18,8.5,153,0,0,1.0,BoylNi00,TE,,,
270,22,BAL,16,16,122,68,836,12.3,6,45,43,4.3,52.3,55.7,6.9,4,38,0,2,15,9.5,2.4,0.3,72,12.1,874,6,0,7.0,HeapTo00,TE,,,
271,22,DET,3,0,4,1,8,8.0,0,1,8,0.3,2.7,25.0,2.0,0,0,0,0,0,0.0,0.0,0.0,1,8.0,8,0,0,0.0,MurpMa00,TE,,,
272,22,CHI,9,9,44,28,284,10.1,0,16,25,3.1,31.6,63.6,6.5,1,0,0,0,0,0.0,0.0,0.1,29,9.8,284,0,0,0.0,KmetCo00,TE,,,
273,22,DET,6,0,3,2,13,6.5,0,1,10,0.3,2.2,66.7,4.3,0,0,0,0,0,0.0,0.0,0.0,2,6.5,13,0,0,0.0,NautIs00,TE,,,
274,22,SDG,15,10,53,36,478,13.3,8,30,59,2.4,31.9,67.9,9.0,0,0,0,0,0,0.0,0.0,0.0,36,13.3,478,8,1,4.0,HenrHu00,TE,,,
275,22,ATL,14,3,27,19,271,14.3,3,16,44,1.4,19.4,70.4,10.0,0,0,0,0,0,0.0,0.0,0.0,19,14.3,271,3,0,3.0,HoopAu00,TE,,,
276,22,OAK,16,5,22,14,128,9.1,1,2,21,0.9,8.0,63.6,5.8,0,0,0,0,0,0.0,0.0,0.0,14,9.1,128,1,0,1.0,JohnTe00,TE,,,
277,22,OAK,13,7,25,21,174,8.3,5,14,23,1.6,13.4,84.0,7.0,0,0,0,0,0,0.0,0.0,0.0,21,8.3,174,5,0,1.0,MoreFo00,TE,,,
278,22,OAK,16,16,68,44,444,10.1,3,25,28,2.8,27.8,64.7,6.5,0,0,0,0,0,0.0,0.0,0.0,44,10.1,444,3,2,4.0,MillZa01,TE,,,
279,22,CAR,12,5,10,5,35,7.0,0,2,14,0.4,2.9,50.0,3.5,0,0,0,0,0,0.0,0.0,0.0,5,7.0,35,0,0,0.0,SeidMi00,TE,,,
280,22,CIN,13,0,2,1,8,8.0,0,0,8,0.1,0.6,50.0,4.0,0,0,0,0,0,0.0,0.0,0.0,1,8.0,8,0,0,0.0,CharOr00,TE,64.0,914.0,0.07
281,22,WAS,11,2,10,3,27,9.0,0,1,15,0.3,2.5,30.0,2.7,1,-3,0,0,-3,-3.0,-0.3,0.1,4,6.0,24,0,0,0.0,DaviFr01,TE,,,
282,22,SFO,14,3,7,5,27,5.4,0,0,9,0.4,1.9,71.4,3.9,0,0,0,0,0,0.0,0.0,0.0,5,5.4,27,0,0,0.0,ByhaNa00,TE,,,
283,22,DET,14,8,70,47,537,11.4,5,27,55,3.4,38.4,67.1,7.7,0,0,0,0,0,0.0,0.0,0.0,47,11.4,537,5,0,4.0,EbroEr00,TE,613.0,901.0,0.68
284,22,MIA,15,5,10,6,32,5.3,1,3,8,0.4,2.1,60.0,3.2,0,0,0,0,0,0.0,0.0,0.0,6,5.3,32,1,0,0.0,SimsDi00,TE,279.0,962.0,0.29
