,age,team,g,gs,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,player_id,position,snaps_played,total_snaps,snap_played_percentage,def_targets,def_cmp,def_cmp_perc,def_cmp_yds,def_yds_per_cmp,def_yds_per_target,def_cmp_td,def_pass_rating,def_tgt_yds_per_att,def_air_yds,def_yac,blitzes,qb_hurry,qb_knockdown,pressures,tackles_missed,tackles_missed_pct
6782,32,CIN,14,14,3,14.0,0.0,14.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,62,53.0,9.0,1.0,0.0,0.0,JonePa20,DB,853.0,948.0,0.9,,,,,,,,,,,,,,,,,
6783,32,ATL,16,4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26,18.0,8.0,1.0,0.0,0.0,HopeCh21,DB,259.0,1036.0,0.25,,,,,,,,,,,,,,,,,
6784,32,PIT,7,7,0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,23,14.0,9.0,0.0,0.0,0.0,HadeJo99,DB,450.0,450.0,1.0,31.0,18.0,58.1,187.0,10.4,6.0,1.0,86.4,9.1,121.0,66.0,0.0,0.0,0.0,0.0,8.0,25.8
6785,32,JAX,12,4,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20,20.0,0.0,0.0,0.0,0.0,MathRa99,DB,455.0,784.0,0.58,,,,,,,,,,,,,,,,,
6786,32,BUF,7,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6.0,2.0,0.0,0.0,0.0,McGeTe99,DB,142.0,490.0,0.29,,,,,,,,,,,,,,,,,
6787,32,LVR,8,8,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,19,18.0,1.0,2.0,0.0,1.0,HaywCa00,DB,492.0,553.0,0.89,24.0,12.0,50.0,123.0,10.3,5.1,0.0,65.1,15.8,107.0,16.0,0.0,0.0,0.0,0.0,2.0,9.5
6788,32,SFO,3,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,AsomNn20,DB,137.0,211.0,0.65,,,,,,,,,,,,,,,,,
6789,32,NYG,16,16,3,71.0,0.0,39.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,87,71.0,16.0,1.0,1.0,0.0,RollAn20,DB,1047.0,1047.0,1.0,,,,,,,,,,,,,,,,,
6790,32,SFO,16,16,2,14.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,47,39.0,8.0,0.0,0.0,0.0,RogeCa20,DB,1046.0,1067.0,0.98,,,,,,,,,,,,,,,,,
6791,32,WAS,15,6,1,79.0,0.0,79.0,3.0,1.0,0.0,0.0,0.0,0.0,0.5,41,25.0,16.0,0.0,2.0,0.0,BlacWi20,DB,572.0,1021.0,0.56,,,,,,,,,,,,,,,,,
6792,32,SFO,16,16,1,0.0,0.0,0.0,3.0,1.0,0.0,1.0,5.0,0.0,0.0,110,95.0,15.0,3.0,1.0,0.0,BethAn20,DB,1127.0,1150.0,0.98,,,,,,,,,,,,,,,,,
6793,32,BAL,16,16,2,26.0,0.0,32.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,45,39.0,6.0,0.0,1.0,0.0,CarrBr99,DB,876.0,1031.0,0.85,92.0,46.0,50.0,696.0,15.1,7.6,0.0,66.2,11.8,404.0,292.0,14.0,1.0,1.0,2.0,8.0,15.1
6794,32,SEA,12,2,0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,34,24.0,10.0,0.0,0.0,0.0,TrufMa20,DB,352.0,749.0,0.47,,,,,,,,,,,,,,,,,
6795,32,CHI,8,8,3,69.0,0.0,41.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,42,33.0,9.0,2.0,0.0,0.0,TillCh20,DB,432.0,514.0,0.84,,,,,,,,,,,,,,,,,
6796,32,PIT,12,12,1,3.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,32,25.0,7.0,1.0,0.0,0.0,TaylIk20,DB,646.0,710.0,0.91,,,,,,,,,,,,,,,,,
6797,24,STL,14,5,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,39,30.0,9.0,4.0,5.0,0.0,AlexMa00,DB,420.0,1024.0,0.41,,,,,,,,,,,,,,,,,
6798,24,MIA,16,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,24.0,6.0,0.0,0.0,0.0,AikeWa00,DB,444.0,1138.0,0.39,,,,,,,,,,,,,,,,,
6799,24,ATL,15,14,3,13.0,0.0,13.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,69,60.0,9.0,0.0,1.0,0.0,AlleRi00,DB,838.0,974.0,0.86,,,,,,,,,,,,,,,,,
6800,24,KAN,9,1,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17,16.0,1.0,0.0,0.0,0.0,AckeKe00,DB,146.0,635.0,0.23,,,,,,,,,,,,,,,,,
6801,24,HOU,16,16,3,12.0,0.0,10.0,14.0,1.0,0.0,2.0,3.0,0.0,0.0,85,71.0,14.0,3.0,1.0,0.0,QuinGl99,DB,,,,,,,,,,,,,,,,,,,,
6802,24,CIN,13,8,1,0.0,0.0,0.0,7.0,0.0,0.0,1.0,-1.0,0.0,2.0,51,44.0,7.0,5.0,0.0,0.0,RomaMa20,DB,,,,,,,,,,,,,,,,,,,,
6803,24,NOR,16,16,0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,8.0,0.0,3.0,104,71.0,33.0,6.0,4.0,0.0,VaccKe00,DB,1062.0,1062.0,1.0,,,,,,,,,,,,,,,,,
6804,24,ATL,14,4,2,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,15,10.0,5.0,0.0,2.0,0.0,FranDo99,DB,,,,,,,,,,,,,,,,,,,,
6805,24,CAR,16,15,3,79.0,0.0,76.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,55,41.0,14.0,2.0,0.0,0.0,BranCo20,DB,,,,,,,,,,,,,,,,,,,,
6806,24,DET,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,BabeRo20,DB,,,,,,,,,,,,,,,,,,,,
6807,24,MIA,16,9,3,15.0,0.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,62,55.0,7.0,0.0,0.0,0.0,AlleJa23,DB,,,,,,,,,,,,,,,,,,,,
6808,24,NWE,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3.0,4.0,0.0,0.0,0.0,AndrWi20,DB,,,,,,,,,,,,,,,,,,,,
6809,24,MIN,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,RobiJo01,DB,6.0,300.0,0.02,,,,,,,,,,,,,,,,,
6810,24,WAS,15,1,1,14.0,0.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,27,19.0,8.0,0.0,0.0,0.0,RobiTr02,DB,101.0,1010.0,0.1,,,,,,,,,,,,,,,,,
6811,24,STL,15,15,4,205.0,2.0,74.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,61,56.0,5.0,0.0,0.0,0.0,FishTr20,DB,,,,,,,,,,,,,,,,,,,,
6812,24,HOU,8,1,0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,17,14.0,3.0,0.0,0.0,0.0,FaggDe20,DB,,,,,,,,,,,,,,,,,,,,
6813,24,JAX,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0,FranBr20,DB,,,,,,,,,,,,,,,,,,,,
6814,24,GNB,4,4,1,30.0,0.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13,9.0,4.0,0.0,0.0,0.0,AlexJa00,DB,,,,22.0,12.0,54.5,131.0,10.9,6.0,2.0,83.7,10.9,73.0,58.0,1.0,0.0,0.0,0.0,1.0,7.1
