player_id,position,games,gamestarts,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_per_g,rec_yds_per_g,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_yds_per_att,Component_1,Component_2,Component_3,Component_4,kmeans_pca_cluster
AbduAm00,RB,89,22,130,94,675,7.7,6,1.15,9.4125,6.074999999999999,381,1499,6,4.0625,18.612499999999997,0.3637093243828193,0.542231068088419,0.14106826719008403,1
AddaJo00,RB,78,60,248,191,1448,7.416666666666667,9,2.4,17.916666666666668,5.616666666666667,1095,4453,39,4.033333333333333,56.26666666666666,3.757282535486166,-0.050986598404116644,-0.010216994196033256,3
AjayJa00,RB,52,24,101,73,510,6.366666666666667,2,1.1666666666666667,8.233333333333334,4.483333333333333,642,2954,14,4.3,47.050000000000004,0.31780370071467584,-0.23628839637502208,-0.8542261372469812,1
AkerCa00,RB,13,5,14,11,123,11.2,1,0.8,9.5,8.8,145,625,2,4.3,48.1,-0.9245288379082327,2.4742362327071863,-1.7336354267604563,1
AlexSh00,RB,123,96,316,215,1520,6.866666666666666,12,1.5888888888888888,11.066666666666666,4.733333333333333,2187,9453,100,4.088888888888889,71.03333333333333,6.490552674938378,-2.7887098549348015,-1.93703673051396,0
AlleAn01,RB,21,0,4,2,12,3.0,0,0.05,0.4,1.5,19,69,1,3.25,2.7,-3.1156301270618796,-1.3932749507930624,0.4186017729476172,2
AlleJa01,RB,64,6,171,130,823,6.5600000000000005,6,1.7399999999999998,10.9,4.56,350,1285,9,3.56,16.96,0.28649165309779695,0.3191270535760181,1.0630951540337659,1
AndeMi00,RB,98,51,122,92,727,7.3,5,0.9142857142857144,7.114285714285714,5.728571428571428,919,4067,37,4.314285714285714,38.457142857142856,1.7262520230490133,-0.7225673225148121,-1.3486635430182607,3
ArmsRy00,RB,16,1,24,14,144,10.3,2,0.9,9.0,6.0,35,108,0,3.1,6.8,-1.7844031896499768,1.5941097440208065,-0.14117911268579011,1
ArriJ.00,RB,58,8,123,91,693,7.5,2,1.65,12.8,5.625,183,654,3,3.425,11.95,-0.40889397478346784,0.950756865945328,0.6194762090670215,1
ArtiCa00,RB,32,3,11,10,86,7.4,0,0.35000000000000003,3.4749999999999996,7.1,118,491,5,4.25,22.275000000000002,-1.7708106874806602,0.8866207883172382,-1.1703580028793823,1
BakeEd01,RB,6,2,9,8,57,3.55,0,1.35,9.5,3.15,44,173,2,3.0,28.85,-2.1327791979995108,-0.18380242669957042,0.443847288923287,2
BallKa00,RB,51,10,101,73,386,4.68,0,1.44,7.5600000000000005,3.38,296,931,10,3.0799999999999996,18.5,-1.0076559722588967,-0.5311352914613726,0.4435506957301309,1
BallMo00,RB,21,3,40,29,207,7.1,0,1.55,10.75,5.1,175,731,5,3.9000000000000004,34.65,-1.1257901251238864,0.9482466680131367,-0.3784684120479697,1
BallVi00,RB,17,13,29,18,147,1.9500000000000002,1,1.05,2.25,1.5499999999999998,224,877,2,4.35,56.95,-1.6038646929132636,-1.2524469390210826,-0.25813469477382484,2
BarbMa01,RB,99,42,233,179,1330,7.471428571428571,6,1.7285714285714284,12.785714285714286,5.357142857142857,1156,4780,53,4.085714285714285,47.357142857142854,3.289967258804959,-0.6881579661611614,-0.7018021679744453,3
BarkSa00,RB,36,36,223,163,1349,8.9,7,3.875,33.7,6.3,551,2539,19,3.75,53.724999999999994,3.085205761008673,2.318443107624186,1.21023856608191,3
BarlKe00,RB,84,33,190,144,1164,7.766666666666666,3,1.7,13.566666666666665,5.800000000000001,1022,3984,30,3.9000000000000004,46.71666666666667,2.218714240848033,-0.03947503375603406,-0.6989890134731456,3
BarnKe00,RB,78,1,44,28,152,4.0249999999999995,0,0.3125,1.5625,2.5875000000000004,119,487,3,3.55,6.4625,-2.115204108940822,-1.1678824882718342,0.16913777777613198,2
BatcBa00,RB,12,0,5,4,31,7.8,0,0.3,2.6,6.2,25,49,1,2.0,4.1,-2.6606446213035184,0.593222290240857,-0.22248078481567451,1
BawdNi00,RB,10,2,6,4,17,4.3,0,0.4,1.7,2.8,0,0,0,0.0,0.0,-3.3292148852626138,-1.126917702380956,1.092277680167185,2
BellLe00,RB,95,83,501,398,3297,7.6000000000000005,8,3.5888888888888886,29.36666666666666,6.3999999999999995,1606,6610,42,3.9777777777777774,63.53333333333334,7.1462224554872895,0.09486320874067113,1.1877691089961704,0
BellTa00,RB,54,22,101,71,419,7.360000000000001,0,1.52,8.42,5.18,569,2773,16,4.96,48.1,0.3995749095678663,0.32187202854457136,-1.2920824620390432,1
BenjEn00,RB,3,0,0,0,0,0.0,0,0.0,0.0,0.0,11,46,1,4.2,15.3,-3.2630065464246085,-2.092614445415341,0.47505110385932986,2
BennMi00,RB,115,51,200,164,1348,7.836363636363635,7,1.236363636363636,10.536363636363635,6.336363636363637,883,3892,14,4.181818181818182,28.900000000000002,2.2996215428941618,-0.1234316148974006,-0.16101785583577677,3
BensCe00,RB,96,71,162,120,833,6.45,1,1.3375000000000001,9.375,4.9625,1600,6017,32,3.775,60.4,2.6434516628045115,-1.4748484943173554,-1.8708372667170008,3
BernGi00,RB,122,30,480,362,2976,7.955555555555557,14,3.011111111111111,24.1,6.000000000000001,927,3748,22,4.422222222222222,29.455555555555552,5.317895081067479,0.7878978801264437,2.648927605605617,0
BestJa00,RB,22,15,120,85,774,9.5,3,4.05,39.099999999999994,6.65,255,945,6,3.9,49.85,1.6189288058680908,3.4211629392420884,1.0229386616539238,3
BettLa00,RB,111,14,265,188,1646,9.033333333333335,3,1.711111111111111,15.055555555555555,6.266666666666667,821,3326,15,3.855555555555556,28.466666666666665,2.2144428114183583,0.5991734542612567,0.21282859934703086,3
BlayDe00,RB,51,8,81,53,520,8.559999999999999,2,1.02,9.08,5.4399999999999995,198,820,10,3.8200000000000003,15.3,-0.7256439742376888,0.8115834028897585,-0.18962576945129764,1
BlueAl00,RB,73,16,86,69,470,6.7,2,0.9200000000000002,6.26,5.46,673,2407,8,3.62,32.32,-0.11372354435624873,-0.14204320101181947,-0.6593946035572369,1
BohaTo00,RB,68,30,46,29,239,9.860000000000001,1,0.4600000000000001,4.119999999999999,6.959999999999999,26,72,2,1.72,1.02,-1.5538113470770152,0.7324397584006328,-0.261452430253258,1
BookDe00,RB,85,11,187,142,1117,7.8999999999999995,2,1.7666666666666666,14.0,5.966666666666666,467,1841,11,4.233333333333333,23.183333333333334,0.9514509826440174,0.8265489817014111,0.22818487628938486,3
BookLo00,RB,36,2,66,47,362,6.750000000000001,0,1.5999999999999999,12.125,4.725,61,230,0,2.8,6.675,-1.4951555686160314,0.7423280223386775,0.7069255561713914,1
BradAh00,RB,103,36,243,187,1493,7.766666666666666,12,1.8888888888888884,14.633333333333333,5.777777777777778,1083,4928,36,4.811111111111111,46.077777777777776,3.646729085810584,-0.03197274386177988,0.03440808096593675,3
BradAl00,RB,20,0,0,0,0,0.0,0,0.0,0.0,0.0,5,13,0,0.43333333333333335,2.1666666666666665,-3.758552222423401,-2.7200313888494354,1.5569464182491959,2
BrigGa00,RB,6,0,1,1,6,6.0,0,0.2,1.0,6.0,1,4,0,4.0,0.7,-2.7459103371076443,0.4635748627449841,-0.4976789580780594,1
BrowAa00,RB,22,2,29,18,138,7.966666666666666,1,0.9666666666666667,7.366666666666667,6.033333333333334,45,189,0,2.766666666666667,6.133333333333333,-1.9605085372420687,1.0076091528465547,0.051301974888284176,1
BrowAn03,RB,25,10,46,32,189,3.1,0,0.925,5.375,2.175,216,875,11,1.9500000000000002,24.85,-1.9104512725895055,-1.3193568055234821,0.528886247287508,2
BrowBr02,RB,42,7,59,37,316,6.45,0,0.8999999999999999,8.475000000000001,4.1,251,1076,7,3.875,24.225,-1.1823486117314899,0.09963286208301139,-0.30885266100805364,1
BrowCh03,RB,68,33,130,90,741,6.900000000000001,2,1.2166666666666668,9.583333333333334,5.016666666666667,722,3024,19,4.05,43.76666666666667,0.8584511910710237,-0.23066059279292928,-0.81963455112647,3
BrowDe02,RB,43,3,37,21,114,3.56,2,0.34,1.8599999999999999,3.06,119,405,4,1.78,5.98,-2.44225943316449,-1.2248764998613266,0.7446503012103299,2
BrowDo00,RB,89,25,163,120,1066,9.657142857142858,2,1.3000000000000003,12.042857142857144,7.014285714285714,695,2829,18,4.0,31.342857142857145,1.3391074330909436,0.8170905806254457,-0.7700034191269294,3
BrowRo05,RB,139,74,321,250,2005,7.3999999999999995,2,1.9181818181818182,15.863636363636363,5.636363636363637,1295,5450,38,4.090909090909091,40.71818181818182,4.248783435663349,-0.9216570572394388,-0.45831116585379317,3
BuckCo00,RB,103,23,193,144,1410,10.014285714285716,6,1.4285714285714286,13.714285714285714,7.357142857142857,655,2944,21,4.3999999999999995,28.75714285714286,2.070417034884227,1.0632512878340936,-0.29776326724654817,3
BurkRe00,RB,91,9,180,135,1182,7.6000000000000005,8,1.3888888888888888,11.966666666666665,5.566666666666666,347,1430,15,3.2000000000000006,14.299999999999999,0.8447774062997129,0.4240730866333214,1.083441568399843,3
BushMi00,RB,89,20,139,104,1010,9.666666666666666,2,1.1666666666666667,11.166666666666666,6.8999999999999995,809,3250,29,3.966666666666667,36.24999999999999,1.4269819433410085,0.5698911326126266,-1.173463510884267,3
BushRe00,RB,134,96,662,477,3598,7.672727272727272,18,3.4909090909090916,25.718181818181815,5.3909090909090915,1286,5490,36,3.8000000000000003,37.190909090909095,7.903025904875276,-0.30582191160935346,3.2176085111209987,0
CalhBr00,RB,11,0,7,7,55,8.5,0,0.8,5.8500000000000005,8.5,14,54,0,3.85,5.75,-2.0597345067795523,1.810514206620959,-0.771902296602935,1
CaniTr00,RB,46,13,47,32,260,7.0,1,0.65,4.825,4.475,240,1095,7,3.675,21.775,-1.2807337675325317,0.004278265298620095,-0.4906714145428938,1
CannTr00,RB,49,0,28,20,160,2.7600000000000002,0,0.26,2.02,2.2199999999999998,52,149,1,1.3199999999999998,1.98,-2.8588980741180747,-1.5998137816952396,0.9997315262653521,2
CareKa00,RB,37,1,16,13,131,9.566666666666666,1,0.3666666666666667,3.4666666666666663,7.900000000000001,111,443,2,4.000000000000001,12.1,-1.7010153570564566,1.4751536883212768,-1.1049968645067072,1
CarsCh00,RB,49,48,131,107,804,7.279999999999999,7,2.06,15.059999999999999,6.18,769,3502,24,4.48,66.2,2.1454319353883657,0.5582121709967574,-0.7406174257267991,3
CartDe01,RB,27,3,10,6,31,5.533333333333334,0,0.13333333333333333,0.8000000000000002,2.9333333333333336,133,499,5,2.5,11.933333333333332,-2.5921021415145913,-0.8281900600082397,-0.07246191779149118,2
CartMi03,RB,5,3,14,9,64,7.1,0,1.8,12.8,4.6,47,165,2,3.5,33.0,-1.535263973627974,1.1460184553307522,-0.04702470980396312,1
ChapDo00,RB,26,3,21,17,143,5.466666666666666,1,0.43333333333333335,3.466666666666667,5.033333333333333,90,317,0,4.233333333333333,11.766666666666666,-2.1063646177708124,0.17525705146524187,-0.3076622965581894,1
ChapSh00,RB,6,1,3,2,15,7.5,0,0.3,2.5,6.0,0,0,0,0.0,0.0,-3.0435932552092124,0.23423406860676566,0.372736922921898,2
CharJa00,RB,119,69,439,310,2593,7.1,20,2.436363636363636,18.527272727272727,5.027272727272727,1407,7563,44,4.881818181818181,53.62727272727273,6.547396937688285,-0.7821986373445329,1.2910252430566613,0
ChoiTa00,RB,91,4,123,82,579,5.828571428571429,0,0.8142857142857143,5.671428571428572,4.142857142857143,383,1623,10,4.114285714285714,17.185714285714287,-0.547250332990564,-0.48504322140773587,-0.19332069360085247,1
