player_id,position,games,gamestarts,def_int,def_int_td,pass_defended,fumbles_forced,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,def_targets,def_cmp,Component_1,Component_2,Component_3,kmeans_pca_cluster
GheeBr99,DB,29,1,1,0.0,6.0,0.0,0.0,21,17.0,4.0,0.0,0.0,0.0,0.0,-2.370572151281616,-0.34097474654739235,-0.13222103028461904,0
GibsDa20,DB,50,9,1,0.0,5.0,0.0,1.0,113,77.0,36.0,7.0,0.0,0.0,0.0,-1.355935963713263,-0.5380333175138295,0.2993925675797324,0
GibsDe21,DB,69,32,3,0.0,16.0,1.0,2.0,196,161.0,35.0,6.0,0.0,0.0,0.0,-0.4441285820508303,-0.6745042524292603,0.09477652417554251,0
GilbJu00,DB,35,3,1,1.0,9.0,0.0,0.0,42,36.0,6.0,0.0,1.0,0.0,0.0,-1.9505408348249977,-0.4106469199648834,-0.40125819597903134,0
GilcMa00,DB,128,98,14,0.0,39.0,5.0,4.0,502,382.0,120.0,17.0,5.0,65.0,40.0,3.91945717511228,-0.076435762763332,0.5584646167573111,3
GilmAl00,S,22,2,1,0.0,1.0,0.0,0.0,31,21.0,10.0,0.0,1.0,18.0,13.0,-2.2808681627631824,0.030816986049239666,0.09261095727218614,0
GilmSt00,DB,126,122,27,2.0,116.0,6.0,1.0,415,362.0,53.0,7.0,1.0,250.0,127.0,4.85149628783673,3.337404718640995,-2.889099506229064,2
GiorMa20,DB,116,30,11,2.0,19.0,2.0,1.0,227,180.0,47.0,2.0,5.0,0.0,0.0,0.8271654546428195,-0.9164057457353326,-0.7921916559821597,3
GladJe00,DB,16,15,0,0.0,3.0,1.0,0.0,81,63.0,18.0,7.0,1.0,88.0,62.0,-1.445757835494165,1.399865373624112,0.4144929195435168,0
GodfCh99,DB,102,76,11,1.0,34.0,8.0,3.0,405,315.0,90.0,9.0,8.0,0.0,0.0,2.929867335568668,-1.2774998618692412,0.2521182850272426,3
GoldDa99,DB,127,106,16,2.0,48.0,8.0,3.0,610,466.0,144.0,7.0,5.0,0.0,0.0,4.621504898071904,-1.4621034477068706,-0.8229238824221718,1
GomeDe00,DB,46,8,1,0.0,6.0,0.0,0.0,84,55.0,29.0,3.0,6.0,0.0,0.0,-1.4679908681614793,-0.5007525944078921,0.6083091096897496,0
GoodAn20,DB,127,95,19,1.0,95.0,3.0,1.0,344,288.0,56.0,9.0,3.0,0.0,0.0,2.9030398730452487,-0.9807310188407676,-1.8873937107518282,3
GoodDe00,DB,26,3,0,0.0,2.0,0.0,0.0,30,22.0,8.0,0.0,1.0,0.0,0.0,-2.3497490260701257,-0.35054722549723827,0.07502628680545338,0
GoodDw20,DB,16,1,0,0.0,1.0,0.0,0.0,8,8.0,0.0,1.0,0.0,0.0,0.0,-2.568494339872239,-0.31598708130138947,0.019446910709844015,0
GrahCo99,DB,184,74,18,1.0,70.0,3.0,3.0,707,555.0,152.0,17.0,13.0,29.0,22.0,5.650703340961692,-0.9579915892468901,0.3682112752812623,1
GranDe21,DB,176,161,30,0.0,110.0,4.0,6.5,778,624.0,154.0,23.0,8.0,0.0,0.0,7.423785741695492,-1.754284361131288,-0.27120229696353876,1
GranRi00,DB,5,0,0,0.0,1.0,0.0,0.0,5,4.0,1.0,0.0,0.0,4.0,1.0,-2.6818309413782826,-0.23138742792318803,0.03128733120644293,0
GratDw00,DB,46,25,3,1.0,12.0,2.0,0.0,119,91.0,28.0,1.0,0.0,0.0,0.0,-1.0768150351755632,-0.543305873479814,-0.6449457836176755,0
GrayBo20,DB,29,13,1,0.0,6.0,1.0,1.0,89,69.0,20.0,5.0,0.0,0.0,0.0,-1.60565740108255,-0.490517887482618,0.21087252873017176,0
GreeCh01,DB,3,0,0,0.0,0.0,0.0,0.0,6,6.0,0.0,0.0,0.0,0.0,0.0,-2.714328033747171,-0.28405754033293795,0.04064947300278392,0
GreeCo99,DB,30,13,1,0.0,4.0,1.0,0.0,93,70.0,23.0,2.0,0.0,0.0,0.0,-1.7887129172133134,-0.4354902716093962,-0.04112257154498103,0
GreeEr20,DB,51,33,2,0.0,32.0,2.0,0.0,169,152.0,17.0,3.0,1.0,0.0,0.0,-0.7861897259423329,-0.531226612299693,-0.42474195162551254,0
GreeJo03,DB,24,7,1,0.0,7.0,0.0,1.0,38,29.0,9.0,8.0,15.0,0.0,0.0,-1.1706827699738327,-0.5949635919735278,1.8969226482906452,0
GreeMi20,DB,104,48,4,0.0,27.0,7.0,6.0,434,350.0,84.0,19.0,0.0,0.0,0.0,2.4505805729586787,-1.3102643363454556,1.0393094211467855,3
