player_id,position,games,gamestarts,def_int,def_int_td,pass_defended,fumbles_forced,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,Component_1,Component_2,kmeans_pca_cluster
BowsTy00,LB,72,11,4,0.0,11.0,1.0,13.0,110,68.0,42.0,15.0,37.0,-0.1725420047745979,0.6765610792682294,0
BradCa01,LB,8,0,0,0.0,0.0,0.0,0.0,9,8.0,1.0,2.0,2.0,-2.3775477087418917,0.12467440243680883,0
BradNi00,LB,116,96,3,0.0,33.0,5.0,8.5,619,403.0,216.0,34.0,21.0,3.215642278489332,-0.9170303647739082,1
BradSh00,LB,24,0,0,0.0,1.0,0.0,0.0,31,18.0,13.0,1.0,0.0,-2.195765977974604,-0.0024826535714538855,0
BradSt99,LB,76,30,3,0.0,15.0,1.0,3.0,239,187.0,52.0,23.0,12.0,0.09969368626088954,-0.3686266135786522,1
BranAn00,LB,95,38,0,0.0,14.0,8.0,25.5,188,125.0,63.0,34.0,46.0,1.1385605536256214,2.0570890485877027,1
BrigLa99,LB,173,170,16,5.0,84.0,16.0,15.0,1181,944.0,237.0,97.0,24.0,11.263424218290115,-3.6622379675066306,2
BrinJa99,LB,94,42,0,0.0,4.0,9.0,2.0,316,234.0,82.0,17.0,6.0,0.4369192146722414,0.13755187400610835,1
BrooJo01,LB,22,14,0,0.0,4.0,0.0,1.0,128,71.0,57.0,5.0,2.0,-1.5908383083518942,-0.19516394662828365,0
BrotKe00,LB,51,1,0,0.0,0.0,0.0,1.0,55,41.0,14.0,1.0,1.0,-1.9382937889285778,0.012868052400950014,0
BrowAr00,LB,50,0,0,0.0,0.0,1.0,0.5,20,16.0,4.0,0.0,3.0,-2.0116798777950082,0.17223050604297302,0
BrowBa01,LB,5,0,0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,-2.4627480125770944,0.08337418197611528,0
BrowBl00,LB,28,2,0,0.0,0.0,0.0,0.5,17,13.0,4.0,0.0,1.0,-2.228440573194645,0.07978696830704989,0
BrowCa01,LB,20,0,0,0.0,0.0,1.0,0.0,16,10.0,6.0,0.0,3.0,-2.2243276323360313,0.16582354584354986,0
