playerId,year,school_name,conf_abbr,class,pos,g,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td
henry-ruggs-iii-1,2018,Alabama,SEC,SO,WR,14.0,0.0,0.0,,0.0,46.0,741.0,16.1,11.0,46,741,16.1,11
henry-ruggs-iii-1,2019,Alabama,SEC,JR,WR,12.0,2.0,75.0,37.5,1.0,40.0,746.0,18.7,7.0,42,821,19.5,8
jd-runnels-1,2002,Oklahoma,Big 12,FR,RB,14.0,1.0,2.0,2.0,0.0,1.0,3.0,3.0,1.0,2,5,2.5,1
jd-runnels-1,2003,Oklahoma,Big 12,SO,RB,14.0,,,,,16.0,109.0,6.8,2.0,16,109,6.8,2
jd-runnels-1,2004,Oklahoma,Big 12,JR,RB,13.0,,,,,14.0,133.0,9.5,1.0,14,133,9.5,1
jd-runnels-1,2005,Oklahoma,Big 12,SR,RB,12.0,1.0,3.0,3.0,0.0,20.0,205.0,10.3,1.0,21,208,9.9,1
alonzo-russell-1,2012,Toledo,MAC,FR,WR,13.0,,,,,56.0,960.0,17.1,5.0,56,960,17.1,5
alonzo-russell-1,2013,Toledo,MAC,SO,WR,12.0,0.0,0.0,,0.0,59.0,728.0,12.3,6.0,59,728,12.3,6
alonzo-russell-1,2014,Toledo,MAC,JR,WR,13.0,0.0,0.0,,0.0,51.0,770.0,15.1,8.0,51,770,15.1,8
alonzo-russell-1,2015,Toledo,MAC,SR,WR,12.0,0.0,0.0,,0.0,36.0,618.0,17.2,5.0,36,618,17.2,5
cliff-russell-1,1999,Utah,MWC,,WR,9.0,1.0,6.0,6.0,0.0,34.0,601.0,17.7,3.0,35,607,17.3,3
cliff-russell-1,2000,Utah,MWC,JR,WR,8.0,1.0,5.0,5.0,0.0,37.0,517.0,14.0,3.0,38,522,13.7,3
cliff-russell-1,2001,Utah,MWC,SR,WR,11.0,5.0,26.0,5.2,0.0,53.0,744.0,14.0,4.0,58,770,13.3,4
derek-russell-1,1987,Arkansas,SWC,,WR,12.0,1.0,7.0,7.0,0.0,16.0,297.0,18.6,3.0,17,304,17.9,3
derek-russell-1,1988,Arkansas,SWC,,WR,11.0,,,,,15.0,396.0,26.4,1.0,15,396,26.4,1
derek-russell-1,1989,Arkansas,SWC,,WR,,12.0,184.0,15.3,2.0,17.0,284.0,16.7,4.0,29,468,16.1,6
derek-russell-1,1990,Arkansas,SWC,,WR,11.0,4.0,18.0,4.5,1.0,43.0,897.0,20.9,8.0,47,915,19.5,9
rod-rutledge-1,1995,Alabama,SEC,,TE,11.0,,,,,1.0,8.0,8.0,0.0,1,8,8.0,0
rod-rutledge-1,1996,Alabama,SEC,,TE,12.0,,,,,7.0,91.0,13.0,0.0,7,91,13.0,0
rod-rutledge-1,1997,Alabama,SEC,,TE,11.0,,,,,15.0,160.0,10.7,1.0,15,160,10.7,1
sean-ryan-1,2001,Boston College,Big East,SO,TE,11.0,,,,,17.0,223.0,13.1,3.0,17,223,13.1,3
sean-ryan-1,2002,Boston College,Big East,JR,TE,13.0,,,,,23.0,280.0,12.2,3.0,23,280,12.2,3
sean-ryan-1,2003,Boston College,Big East,SR,TE,13.0,,,,,35.0,447.0,12.8,6.0,35,447,12.8,6
larry-ryans-1,1990,Clemson,ACC,,RB,12.0,14.0,105.0,7.5,0.0,12.0,113.0,9.4,1.0,26,218,8.4,1
larry-ryans-1,1991,Clemson,ACC,,WR,12.0,13.0,116.0,8.9,1.0,20.0,273.0,13.7,1.0,33,389,11.8,2
larry-ryans-1,1992,Clemson,ACC,,WR,11.0,9.0,93.0,10.3,1.0,10.0,145.0,14.5,0.0,19,238,12.5,1
troy-sadowski-1,1985,Georgia,SEC,,TE,11.0,,,,,8.0,118.0,14.8,0.0,8,118,14.8,0
troy-sadowski-1,1986,Georgia,SEC,,TE,11.0,,,,,12.0,148.0,12.3,2.0,12,148,12.3,2
troy-sadowski-1,1987,Georgia,SEC,,TE,11.0,,,,,8.0,77.0,9.6,1.0,8,77,9.6,1
troy-sadowski-1,1988,Georgia,SEC,,TE,11.0,,,,,14.0,150.0,10.7,1.0,14,150,10.7,1
